M,X's Set,Coverage Probability
50,0-0,1
49,0-1,1
48,0-1,0.9951021
47,0-1,0.9857143
46,0-1,0.9722319
45,0-1,0.9550369
44,0-2,0.9907559
43,0-2,0.9843631
42,0-2,0.9758292
41,0-2,0.9649928
40,0-2,0.9517396
39,0-3,0.9834488
38,0-3,0.9761493
37,0-3,0.9669288
36,0-3,0.9555901
35,0-4,0.9802933
34,0-4,0.9726268
33,0-4,0.963006
32,0-4,0.9511876
31,0-5,0.9734503
30,0-5,0.9640288
29,0-5,0.9523043
28,0-6,0.9704975
27,0-6,0.9600445
26,0-7,0.9732304
25,0-7,0.9631225
24,0-7,0.9502069
23,0-8,0.9627122
22,0-9,0.9708871
21,0-9,0.9589394
20,0-10,0.9655391
19,0-10,0.951061
18,0-11,0.9559944
17,0-12,0.958723
16,0-13,0.959596
15,0-14,0.958723
14,0-15,0.9559944
14,1-16,0.9512364
13,0-16,0.951061
13,1-17,0.9509473
12,0-18,0.9589394
12,1-19,0.9596626
11,1-20,0.9542938
10,1-22,0.9570001
10,2-23,0.9514762
9,1-24,0.9557588
9,2-25,0.954996
8,2-27,0.9535121
7,2-30,0.9563191
7,3-31,0.9569898
7,4-32,0.9510655
6,2-33,0.9517038
6,3-34,0.9576847
6,4-35,0.9585707
6,5-36,0.954221
5,6-39,0.9516585
4,8-43,0.9504776
4,9-44,0.9563396
4,10-45,0.9566522
4,11-46,0.9509466
3,17-47,0.9505612
2,48-48,0
1,49-49,0
0,50-50,0