"N","a","b","cardinality","coverage_prob","x_set"
10,0,0,1,1,"0-0"
11,0,1,2,1,"0-1"
12,0,2,3,1,"0-2"
13,0,3,4,1,"0-3"
14,0,4,5,1,"0-4"
15,0,4,5,0.958041958041958,"0-4"
16,0,5,6,0.973776223776224,"0-5"
17,1,7,7,0.959276018099548,"1-7"
18,1,7,7,0.959276018099547,"1-7"
19,1,8,8,0.970588235294118,"1-8"
20,1,8,8,0.955108359133127,"1-8"
21,1,9,9,0.96671826625387,"1-9"
22,2,11,10,0.953841823810864,"2-11"
23,2,11,10,0.953841823810864,"2-11"
24,2,12,11,0.963386727688787,"2-12"
25,2,12,11,0.95537757437071,"2-12"
26,2,13,12,0.964186842905378,"2-13"
27,2,13,12,0.950702234455095,"2-13"
28,3,15,13,0.953096179183136,"3-15"
29,3,16,14,0.960849295631904,"3-16"
30,3,16,14,0.955968868712497,"3-16"
31,3,17,15,0.963000881693149,"3-17"
32,3,17,15,0.954455991607174,"3-17"
33,4,19,16,0.953369841134024,"4-19"
34,3,18,16,0.950128431624211,"3-18"
35,4,20,17,0.956518638943555,"4-20"
36,4,21,18,0.962350720447953,"4-21"
37,4,21,18,0.956463967849167,"4-21"
38,5,23,19,0.953877628319819,"5-23"
39,5,23,19,0.951218943628811,"5-23"
40,5,24,20,0.956981292869638,"5-24"
41,5,24,20,0.952168041819178,"5-24"
42,5,25,21,0.957658876936986,"5-25"
43,5,25,21,0.951103026539106,"5-25"
44,6,27,22,0.952438971634721,"6-27"
45,6,28,23,0.957364475560135,"6-28"
46,6,28,23,0.953747308614909,"6-28"
47,7,30,24,0.950229856355129,"7-30"
49,7,31,25,0.953385247208507,"7-31"
50,7,31,25,0.95030302562377,"7-31"
51,7,32,26,0.954867660120434,"7-32"
52,7,32,26,0.950588378113115,"7-32"
53,7,33,27,0.955018446385065,"7-33"
54,8,35,28,0.954140280726118,"8-35"
55,8,35,28,0.951695332279142,"8-35"
56,8,36,29,0.955698160436394,"8-36"
57,8,36,29,0.952273045800705,"8-36"
58,9,38,30,0.950999010020746,"9-38"
59,8,37,30,0.951875920287933,"8-37"
60,9,39,31,0.952770852255069,"9-39"
61,8,38,31,0.950690607934845,"8-38"
62,9,40,32,0.95353364560423,"9-40"
63,10,42,33,0.951887746097425,"10-42"
64,10,42,33,0.95012563050717,"10-42"
65,10,43,34,0.953624950282246,"10-43"
66,10,43,34,0.95113110197739,"10-43"
67,10,44,35,0.954504737462437,"10-44"
68,10,44,35,0.951363934581242,"10-44"
69,11,46,36,0.951154242650005,"11-46"
70,10,45,36,0.950948801707124,"10-45"
71,11,47,37,0.952220163760896,"11-47"
72,12,49,38,0.950226148941315,"12-49"
74,12,50,39,0.952004890014392,"12-50"
75,12,50,39,0.950108439358905,"12-50"
76,12,51,40,0.953103025423983,"12-51"
77,12,51,40,0.950697090956438,"12-51"
78,12,52,41,0.953613139597419,"12-52"
79,12,52,41,0.950749251465232,"12-52"
80,13,54,42,0.951089499623457,"13-54"
81,12,53,42,0.95034023489528,"12-53"
82,13,55,43,0.951755129742875,"13-55"
83,14,57,44,0.950707570199013,"14-57"
85,14,58,45,0.951912515318917,"14-58"
86,14,58,45,0.950010845121531,"14-58"
87,14,59,46,0.952631629702094,"14-59"
88,14,59,46,0.950355556706783,"14-59"
89,15,61,47,0.95012051708882,"15-61"
91,15,62,48,0.950944791794377,"15-62"
92,15,63,49,0.953367454935208,"15-63"
93,15,63,49,0.951366158205451,"15-63"
94,16,65,50,0.95089705499954,"16-65"
96,16,66,51,0.951739875829174,"16-66"
98,16,67,52,0.95221940825615,"16-67"
99,16,67,52,0.950080809036691,"16-67"
100,17,69,53,0.95020311303191,"17-69"
101,17,70,54,0.952423807187716,"17-70"
102,17,70,54,0.950775240458926,"17-70"
103,18,72,55,0.950024609353428,"18-72"
105,18,73,56,0.950938913705253,"18-73"
107,18,74,57,0.951541074674362,"18-74"
109,18,75,58,0.951861774621784,"18-75"
110,17,74,58,0.95028940839213,"17-74"
111,19,77,59,0.95020211128305,"19-77"
112,19,78,60,0.952207477797459,"19-78"
113,19,78,60,0.950603685919852,"19-78"
114,20,80,61,0.950221891508921,"20-80"
116,20,81,62,0.950904022639282,"20-81"
118,20,82,63,0.951339725747325,"20-82"
120,20,83,64,0.951551192797012,"20-83"
121,19,82,64,0.950002479749787,"19-82"
122,21,85,65,0.950157457304755,"21-85"
123,21,86,66,0.951986913000574,"21-86"
124,21,86,66,0.950439580211214,"21-86"
125,22,88,67,0.950313118055294,"22-88"
127,22,89,68,0.95082925263279,"22-89"
129,22,90,69,0.951146114927419,"22-90"
130,21,89,69,0.950175901255344,"21-89"
131,22,91,70,0.951280264565352,"22-91"
132,23,93,71,0.951427777717504,"23-93"
133,23,93,71,0.950090398689064,"23-93"
134,23,94,72,0.951773141196594,"23-94"
135,23,94,72,0.950286504393309,"23-94"
136,24,96,73,0.950340434503156,"24-96"
138,24,97,74,0.950734591736242,"24-97"
140,24,98,75,0.950964407926801,"24-98"
141,25,100,76,0.950900695724565,"25-100"
143,25,101,77,0.951312737017218,"25-101"
144,25,101,77,0.950012634484453,"25-101"
145,25,102,78,0.951570973344387,"25-102"
146,25,102,78,0.9501453916862,"25-102"
147,26,104,79,0.950328700345524,"26-104"
149,26,105,80,0.950631179969581,"26-105"
151,26,106,81,0.950795885110347,"26-106"
152,27,108,82,0.950868118774513,"27-108"
154,27,109,83,0.951189985487205,"27-109"
156,27,110,84,0.951382156660294,"27-110"
157,27,110,84,0.950015985623708,"27-110"
158,28,112,85,0.95029305649267,"28-112"
159,26,110,85,0.950265368091359,"26-110"
160,28,113,86,0.950525319460819,"28-113"
161,29,115,87,0.950443110892991,"29-115"
163,29,116,88,0.950813632675982,"29-116"
165,29,117,89,0.951065673260903,"29-117"
167,29,118,90,0.951206919980538,"29-118"
169,30,120,91,0.950242958885961,"30-120"
170,28,118,91,0.950080533103076,"28-118"
171,30,121,92,0.950420578390963,"30-121"
172,31,123,93,0.950447051602142,"31-123"
174,31,124,94,0.950746156400725,"31-124"
176,31,125,95,0.950943311495472,"31-125"
178,31,126,96,0.951044755979709,"31-126"
180,32,128,97,0.950184426951759,"32-128"
181,33,130,98,0.950093195774841,"33-130"
183,33,131,99,0.950429328287496,"33-131"
185,33,132,100,0.950671403889552,"33-132"
187,33,133,101,0.950824858842218,"33-133"
189,33,134,102,0.950894825361601,"33-134"
190,32,133,102,0.950032438053451,"32-133"
191,34,136,103,0.950121345140328,"34-136"
192,35,138,104,0.950118852034821,"35-138"
194,35,139,105,0.950397080255527,"35-139"
196,35,140,106,0.95059307479876,"35-140"
198,35,141,107,0.950711346521292,"35-141"
200,35,142,108,0.950756167358322,"35-142"
201,36,144,109,0.951029696995204,"36-144"
202,36,144,109,0.950056240913667,"36-144"
203,37,146,110,0.950124343289577,"37-146"
205,37,147,111,0.95035520305281,"37-147"
207,37,148,112,0.95051357644261,"37-148"
209,37,149,113,0.95060324712096,"37-149"
210,35,147,113,0.950012924138458,"35-147"
211,37,150,114,0.950627808424534,"37-150"
212,38,152,115,0.950938373981426,"38-152"
214,39,154,116,0.950115355450577,"39-154"
216,39,155,117,0.950307093843163,"39-155"
218,39,156,118,0.950434472775389,"39-156"
220,39,157,119,0.950500696671083,"39-157"
221,40,159,120,0.950708103963288,"40-159"
223,40,160,121,0.950847957342316,"40-160"
225,41,162,122,0.950095977829757,"41-162"
227,41,163,123,0.95025513138678,"41-163"
229,41,164,124,0.950356769810443,"41-164"
230,39,162,124,0.950016326305621,"39-162"
231,41,165,125,0.950403630512523,"41-165"
232,42,167,126,0.95064565526743,"42-167"
234,42,168,127,0.950759419911018,"42-168"
236,43,170,128,0.950069184004022,"43-170"
238,43,171,129,0.950200991653559,"43-171"
240,43,172,130,0.950281100532322,"43-172"
241,44,174,131,0.950439903569884,"44-174"
243,44,175,132,0.950581548136354,"44-175"
245,44,176,133,0.950673369243184,"44-176"
247,45,178,134,0.950037156172968,"45-178"
249,45,179,135,0.95014585922824,"45-179"
250,46,181,136,0.950233081994802,"46-181"
