"M","n","x","hg_lower","hg_upper","hg_length","nhg_lower","nhg_upper","nhg_length","ratio"
25,5,1,50,574,525,NA,NA,NA,NA
25,5,2,37,147,111,44,296,253,2.27927927927928
25,5,3,31,79,49,32,102,71,1.44897959183673
25,5,4,27,49,23,27,55,29,1.26086956521739
25,5,5,25,36,12,25,36,12,1
25,10,1,82,1137,1056,NA,NA,NA,NA
25,10,2,63,298,236,87,627,541,2.29237288135593
25,10,3,50,156,107,54,223,170,1.58878504672897
25,10,4,42,121,80,44,129,86,1.075
25,10,5,36,81,46,37,86,50,1.08695652173913
25,10,6,33,62,30,33,62,30,1
25,10,7,30,49,20,31,51,21,1.05
25,10,8,28,41,14,28,41,14,1
25,10,9,26,35,10,26,33,8,0.8
25,10,10,25,29,5,25,28,4,0.8
25,15,1,122,1700,1579,NA,NA,NA,NA
25,15,2,83,449,367,120,978,859,2.34059945504087
25,15,3,68,237,170,80,343,264,1.55294117647059
25,15,4,58,180,123,67,197,131,1.0650406504065
25,15,5,50,121,72,57,138,82,1.13888888888889
25,15,6,45,97,53,49,99,51,0.962264150943396
25,15,7,42,82,41,43,82,40,0.975609756097561
25,15,8,38,67,30,38,66,29,0.966666666666667
25,15,9,35,57,23,34,56,23,1
25,15,10,32,49,18,33,47,15,0.833333333333333
25,15,11,30,42,13,30,42,13,1
25,15,12,28,37,10,28,36,9,0.9
25,15,13,27,34,8,27,32,6,0.75
25,15,14,26,29,4,26,29,4,1
25,15,15,25,26,2,25,26,2,1
25,20,1,141,2262,2122,NA,NA,NA,NA
25,20,2,110,601,492,NA,NA,NA,NA
25,20,3,91,318,228,107,462,356,1.56140350877193
25,20,4,77,238,162,84,273,190,1.17283950617284
25,20,5,67,161,95,71,183,113,1.18947368421053
25,20,6,59,140,82,63,137,75,0.914634146341463
25,20,7,53,109,57,56,113,58,1.01754385964912
25,20,8,48,90,43,50,91,42,0.976744186046512
25,20,9,44,76,33,45,76,32,0.96969696969697
25,20,10,41,66,26,41,67,27,1.03846153846154
25,20,11,39,58,20,40,58,19,0.95
25,20,12,36,52,17,36,50,15,0.88235294117647
25,20,13,34,47,14,33,46,14,1
25,20,14,32,43,12,33,42,10,0.833333333333333
25,20,15,31,38,8,30,38,9,1.125
25,20,16,29,35,7,29,34,6,0.857142857142857
25,20,17,28,33,6,28,32,5,0.833333333333333
25,20,18,27,30,4,27,29,3,0.75
25,20,19,26,27,2,26,27,2,1
25,20,20,25,26,2,25,26,2,1
35,10,1,115,1590,1476,NA,NA,NA,NA
35,10,2,87,418,332,120,904,785,2.3644578313253
35,10,3,70,220,151,73,315,243,1.60927152317881
35,10,4,59,169,111,58,185,128,1.15315315315315
35,10,5,51,114,64,51,125,75,1.171875
35,10,6,46,86,41,49,91,43,1.04878048780488
35,10,7,42,69,28,43,74,32,1.14285714285714
35,10,8,39,58,20,39,58,20,1
35,10,9,36,50,15,36,49,14,0.933333333333333
35,10,10,35,41,7,35,40,6,0.857142857142857
35,15,1,169,2377,2209,NA,NA,NA,NA
35,15,2,116,630,515,NA,NA,NA,NA
35,15,3,95,333,239,108,489,382,1.59832635983264
35,15,4,81,251,171,92,286,195,1.14035087719298
35,15,5,70,168,99,78,194,117,1.18181818181818
35,15,6,62,143,82,67,148,82,1
35,15,7,56,115,60,58,116,59,0.983333333333333
35,15,8,52,94,43,52,93,42,0.976744186046512
35,15,9,48,80,33,50,80,31,0.93939393939394
35,15,10,44,69,26,46,68,23,0.884615384615385
35,15,11,42,61,20,41,61,21,1.05
35,15,12,39,55,17,40,52,13,0.764705882352941
35,15,13,38,47,10,38,47,10,1
35,15,14,36,43,8,36,42,7,0.875
35,15,15,35,38,4,35,38,4,1
35,20,1,197,3164,2968,NA,NA,NA,NA
35,20,2,154,842,689,NA,NA,NA,NA
35,20,3,126,446,321,144,663,520,1.61993769470405
35,20,4,107,331,225,124,387,264,1.17333333333333
35,20,5,92,230,139,98,263,166,1.19424460431655
35,20,6,81,196,116,82,198,117,1.00862068965517
35,20,7,74,153,80,75,156,82,1.025
35,20,8,67,125,59,67,133,67,1.13559322033898
35,20,9,61,106,46,61,112,52,1.1304347826087
35,20,10,57,94,38,59,94,36,0.947368421052632
35,20,11,52,83,32,53,86,34,1.0625
35,20,12,49,74,26,49,75,27,1.03846153846154
35,20,13,47,66,20,48,66,19,0.95
35,20,14,44,60,17,43,59,17,1
35,20,15,42,56,15,42,54,13,0.866666666666667
35,20,16,41,51,11,40,50,11,1
35,20,17,38,46,9,38,46,9,1
35,20,18,37,43,7,37,42,6,0.857142857142857
35,20,19,36,40,5,36,39,4,0.8
35,20,20,35,37,3,35,37,3,1
35,25,1,245,3950,3706,NA,NA,NA,NA
35,25,2,191,1054,864,NA,NA,NA,NA
35,25,3,155,560,406,181,837,657,1.61822660098522
35,25,4,125,412,288,140,488,349,1.21180555555556
35,25,5,109,291,183,126,331,206,1.12568306010929
35,25,6,97,244,148,105,257,153,1.03378378378378
35,25,7,88,190,103,93,197,105,1.01941747572816
35,25,8,80,157,78,84,167,84,1.07692307692308
35,25,9,73,141,69,76,139,64,0.927536231884058
35,25,10,68,124,57,69,124,56,0.982456140350877
35,25,11,64,108,45,67,105,39,0.866666666666667
35,25,12,61,96,36,62,93,32,0.888888888888889
35,25,13,57,87,31,56,85,30,0.967741935483871
35,25,14,54,79,26,54,77,24,0.923076923076923
35,25,15,50,72,23,51,72,22,0.956521739130435
35,25,16,49,67,19,47,64,18,0.947368421052632
35,25,17,47,60,14,47,59,13,0.928571428571429
35,25,18,44,56,13,43,55,13,1
35,25,19,42,53,12,43,51,9,0.75
35,25,20,41,49,9,40,48,9,1
35,25,21,39,46,8,40,45,6,0.75
35,25,22,38,43,6,38,42,5,0.833333333333333
35,25,23,37,40,4,37,40,4,1
35,25,24,36,38,3,36,38,3,1
35,25,25,35,36,2,35,36,2,1
45,10,1,147,2043,1897,NA,NA,NA,NA
45,10,2,112,538,427,NA,NA,NA,NA
45,10,3,90,283,194,91,414,324,1.67010309278351
45,10,4,76,218,143,79,234,156,1.09090909090909
45,10,5,65,146,82,66,158,93,1.13414634146341
45,10,6,58,111,54,63,123,61,1.12962962962963
45,10,7,54,90,37,55,94,40,1.08108108108108
45,10,8,50,75,26,50,77,28,1.07692307692308
45,10,9,46,64,19,47,63,17,0.894736842105263
45,10,10,45,53,9,45,52,8,0.888888888888889
45,20,1,252,4065,3814,NA,NA,NA,NA
45,20,2,197,1084,888,NA,NA,NA,NA
45,20,3,162,575,414,182,869,688,1.66183574879227
45,20,4,129,425,297,157,500,344,1.15824915824916
45,20,5,113,298,186,125,340,216,1.16129032258065
45,20,6,100,251,152,108,258,151,0.993421052631579
45,20,7,90,196,107,95,204,110,1.02803738317757
45,20,8,84,161,78,85,174,90,1.15384615384615
45,20,9,78,140,63,82,147,66,1.04761904761905
45,20,10,73,128,56,74,121,48,0.857142857142857
45,20,11,67,112,46,67,107,41,0.891304347826087
45,20,12,63,99,37,65,98,34,0.918918918918919
45,20,13,60,89,30,60,85,26,0.866666666666667
45,20,14,57,79,23,55,79,25,1.08695652173913
45,20,15,54,72,19,55,72,18,0.947368421052632
45,20,16,52,66,15,51,66,16,1.06666666666667
45,20,17,49,62,14,49,60,12,0.857142857142857
45,20,18,48,56,9,48,55,8,0.888888888888889
45,20,19,46,53,8,46,51,6,0.75
45,20,20,45,48,4,45,47,3,0.75
45,25,1,314,5076,4763,NA,NA,NA,NA
45,25,2,245,1356,1112,NA,NA,NA,NA
45,25,3,186,721,536,NA,NA,NA,NA
45,25,4,160,528,369,187,626,440,1.19241192411924
45,25,5,140,378,239,159,438,280,1.17154811715481
45,25,6,125,313,189,131,330,200,1.05820105820106
45,25,7,113,244,132,117,265,149,1.12878787878788
45,25,8,103,206,104,105,214,110,1.05769230769231
45,25,9,94,185,92,95,187,93,1.01086956521739
45,25,10,87,159,73,92,161,70,0.958904109589041
45,25,11,81,139,59,84,137,54,0.915254237288136
45,25,12,76,124,49,76,122,47,0.959183673469388
45,25,13,72,112,41,72,114,43,1.04878048780488
45,25,14,69,102,34,69,100,32,0.941176470588235
45,25,15,65,93,29,64,94,31,1.06896551724138
45,25,16,61,86,26,63,84,22,0.846153846153846
45,25,17,58,80,23,58,77,20,0.869565217391304
45,25,18,57,75,19,56,72,17,0.894736842105263
45,25,19,54,68,15,54,67,14,0.933333333333333
45,25,20,52,64,13,52,63,12,0.923076923076923
45,25,21,50,60,11,50,59,10,0.909090909090909
45,25,22,48,56,9,48,56,9,1
45,25,23,47,53,7,47,52,6,0.857142857142857
45,25,24,46,49,4,46,49,4,1
45,25,25,45,47,3,45,47,3,1
45,35,1,436,7097,6662,NA,NA,NA,NA
45,35,2,340,1901,1562,NA,NA,NA,NA
45,35,3,260,1013,754,NA,NA,NA,NA
45,35,4,223,735,513,265,893,629,1.2261208576998
45,35,5,196,538,343,221,622,402,1.17201166180758
45,35,6,171,435,265,186,464,279,1.05283018867925
45,35,7,150,339,190,161,376,216,1.13684210526316
45,35,8,137,306,170,147,303,157,0.923529411764706
45,35,9,126,259,134,132,267,136,1.01492537313433
45,35,10,117,222,106,122,231,110,1.0377358490566
45,35,11,109,195,87,113,196,84,0.96551724137931
45,35,12,102,175,74,105,182,78,1.05405405405405
45,35,13,96,162,67,98,159,62,0.925373134328358
45,35,14,92,149,58,92,145,54,0.931034482758621
45,35,15,88,136,49,89,132,44,0.897959183673469
45,35,16,83,125,43,83,125,43,1
45,35,17,79,116,38,78,112,35,0.921052631578947
45,35,18,76,108,33,77,106,30,0.909090909090909
45,35,19,72,101,30,71,99,29,0.966666666666667
45,35,20,69,95,27,71,92,22,0.814814814814815
45,35,21,67,87,21,66,86,21,1
45,35,22,65,82,18,65,81,17,0.944444444444444
45,35,23,62,78,17,61,77,17,1
45,35,24,60,75,16,60,74,15,0.9375
45,35,25,58,71,14,57,70,14,1
45,35,26,57,68,12,57,66,10,0.833333333333333
45,35,27,55,64,10,54,63,10,1
45,35,28,53,61,9,54,61,8,0.888888888888889
45,35,29,52,59,8,51,57,7,0.875
45,35,30,50,56,7,51,55,5,0.714285714285714
45,35,31,49,54,6,49,53,5,0.833333333333333
45,35,32,48,51,4,48,51,4,1
45,35,33,47,49,3,47,49,3,1
45,35,34,46,47,2,46,47,2,1
45,35,35,45,46,2,45,46,2,1
55,10,1,180,2496,2317,NA,NA,NA,NA
55,10,2,136,659,524,NA,NA,NA,NA
55,10,3,109,347,239,121,518,398,1.6652719665272
55,10,4,93,266,174,96,298,203,1.16666666666667
55,10,5,80,179,100,80,203,124,1.24
55,10,6,70,136,67,76,149,74,1.1044776119403
55,10,7,66,111,46,68,114,47,1.02173913043478
55,10,8,61,92,32,61,93,33,1.03125
55,10,9,57,79,23,57,76,20,0.869565217391304
55,10,10,55,65,11,55,64,10,0.909090909090909
55,20,1,308,4966,4659,NA,NA,NA,NA
55,20,2,240,1325,1086,NA,NA,NA,NA
55,20,3,197,704,508,NA,NA,NA,NA
55,20,4,157,518,362,190,619,430,1.1878453038674
55,20,5,138,366,229,151,424,274,1.19650655021834
55,20,6,123,307,185,131,322,192,1.03783783783784
55,20,7,111,239,129,115,256,142,1.10077519379845
55,20,8,101,197,97,110,208,99,1.02061855670103
55,20,9,94,176,83,99,175,77,0.927710843373494
55,20,10,88,156,69,89,154,66,0.956521739130435
55,20,11,82,137,56,81,135,55,0.982142857142857
55,20,12,77,122,46,79,118,40,0.869565217391304
55,20,13,72,110,39,72,109,38,0.974358974358974
55,20,14,69,100,32,68,96,29,0.90625
55,20,15,65,88,24,66,87,22,0.916666666666667
55,20,16,63,81,19,61,80,20,1.05263157894737
55,20,17,60,76,17,61,74,14,0.823529411764706
55,20,18,58,71,14,58,68,11,0.785714285714286
55,20,19,56,64,9,56,63,8,0.888888888888889
55,20,20,55,59,5,55,59,5,1
55,30,1,457,7436,6980,NA,NA,NA,NA
55,30,2,357,1991,1635,NA,NA,NA,NA
55,30,3,272,1061,790,NA,NA,NA,NA
55,30,4,234,770,537,267,939,673,1.25325884543762
55,30,5,205,563,359,225,643,419,1.16713091922006
55,30,6,182,456,275,197,496,300,1.09090909090909
55,30,7,157,356,200,177,388,212,1.06
55,30,8,144,318,175,151,327,177,1.01142857142857
55,30,9,132,271,140,137,280,144,1.02857142857143
55,30,10,123,233,111,127,237,111,1
55,30,11,114,204,91,122,205,84,0.923076923076923
55,30,12,109,182,74,112,188,77,1.04054054054054
55,30,13,103,167,65,103,169,67,1.03076923076923
55,30,14,98,156,59,97,152,56,0.949152542372881
55,30,15,92,143,52,94,138,45,0.865384615384615
55,30,16,87,131,45,87,128,42,0.933333333333333
55,30,17,83,122,40,86,120,35,0.875
55,30,18,79,113,35,79,110,32,0.914285714285714
55,30,19,77,103,27,76,102,27,1
55,30,20,74,97,24,74,95,22,0.916666666666667
55,30,21,71,91,21,70,90,21,1
55,30,22,68,86,19,69,85,17,0.894736842105263
55,30,23,66,82,17,65,81,17,1
55,30,24,64,78,15,64,76,13,0.866666666666667
55,30,25,62,73,12,61,72,12,1
55,30,26,60,70,11,60,68,9,0.818181818181818
55,30,27,58,67,10,58,65,8,0.8
55,30,28,57,63,7,57,62,6,0.857142857142857
55,30,29,56,60,5,56,59,4,0.8
55,30,30,55,57,3,55,57,3,1
55,40,1,607,9906,9300,NA,NA,NA,NA
55,40,2,433,2657,2225,NA,NA,NA,NA
55,40,3,361,1418,1058,NA,NA,NA,NA
55,40,4,310,1022,713,NA,NA,NA,NA
55,40,5,258,761,504,290,879,590,1.17063492063492
55,40,6,231,606,376,256,655,400,1.06382978723404
55,40,7,209,480,272,231,534,304,1.11764705882353
55,40,8,191,432,242,202,431,230,0.950413223140496
55,40,9,176,360,185,182,375,194,1.04864864864865
55,40,10,163,309,147,170,318,149,1.01360544217687
55,40,11,152,277,126,157,289,133,1.05555555555556
55,40,12,142,257,116,146,259,114,0.982758620689655
55,40,13,134,230,97,135,231,97,1
55,40,14,126,208,83,127,206,80,0.963855421686747
55,40,15,119,190,72,118,189,72,1
55,40,16,113,175,63,117,174,58,0.920634920634921
55,40,17,108,162,55,109,164,56,1.01818181818182
55,40,18,103,151,49,102,149,48,0.979591836734694
55,40,19,98,141,44,101,142,42,0.954545454545455
55,40,20,94,133,40,95,134,40,1
55,40,21,92,125,34,91,124,34,1
55,40,22,89,118,30,88,116,29,0.966666666666667
55,40,23,85,112,28,84,110,27,0.964285714285714
55,40,24,82,107,26,83,105,23,0.884615384615385
55,40,25,79,102,24,78,100,23,0.958333333333333
55,40,26,77,97,21,77,97,21,1
55,40,27,75,93,19,74,91,18,0.947368421052632
55,40,28,73,88,16,72,86,15,0.9375
55,40,29,70,84,15,70,83,14,0.933333333333333
55,40,30,68,81,14,68,80,13,0.928571428571429
55,40,31,67,78,12,67,76,10,0.833333333333333
55,40,32,65,74,10,64,73,10,1
55,40,33,63,72,10,64,71,8,0.8
55,40,34,62,69,8,61,68,8,1
55,40,35,61,67,7,61,66,6,0.857142857142857
55,40,36,59,64,6,59,64,6,1
55,40,37,58,62,5,58,61,4,0.8
55,40,38,57,60,4,57,60,4,1
55,40,39,56,58,3,56,58,3,1
55,40,40,55,56,2,55,56,2,1
