M,n,x,hg_lower,hg_upper,hg_length,nhg_lower,nhg_upper,nhg_length,ratio
25,20,2,110,601,492,157,1318,,
35,15,2,116,630,515,165,1399,,
35,20,2,154,842,689,217,1881,,
35,25,2,191,1054,864,274,2363,,
45,10,2,112,538,427,154,1186,,
45,20,2,197,1084,888,293,2447,,
45,25,2,245,1356,1112,349,3078,,
45,35,2,340,1901,1562,488,4374,,
45,25,3,186,721,536,228,1104,,
45,35,3,260,1013,754,322,1559,,
55,10,2,136,659,524,188,1462,,
55,20,2,240,1325,1086,356,3015,,
55,30,2,357,1991,1635,506,4589,,
55,40,2,433,2657,2225,676,6142,,
55,20,3,197,704,508,235,1069,,
55,30,3,272,1061,790,349,1637,,
55,40,3,361,1418,1058,446,2187,,
55,40,4,310,1022,713,357,1277,,