"N","M","n","MSE_HG_N","MSE_NHG_N","Diff_MSE_N","MSE_HG_M","MSE_NHG_M","Diff_MSE_M","M_over_N","m_over_M"
100,25,5,1286.94488676575,5289.33762384996,-4002.39273708421,293.28025477707,168.368460154942,124.911794622129,0.25,1.96
100,25,10,4802.29813973656,3795.10212152607,1007.19601821049,141.405433646813,106.068899634707,35.3365340121059,0.25,1.96
100,25,15,5502.884447352,2480.74501919069,3022.13942816131,103.19346140883,71.4766020376634,31.7168593711671,0.25,1.96
100,50,5,4209.74727949599,4853.67196449027,-643.924684994274,411.752577319588,283.688447350346,128.064129969241,0.5,0.98
100,50,10,2736.84232489292,3297.7812992095,-560.938974316582,239.6,273.493204812742,-33.8932048127417,0.5,0.98
100,50,15,906.360897525475,3021.44259053431,-2115.08169300883,131.288888888889,275.049308110702,-143.760419221813,0.5,0.98
100,50,25,470.145245420168,2650.42796103993,-2180.28271561977,79.584,266.637967638439,-187.05396763844,0.5,0.98
100,75,5,2311.25656906906,6233.80568068068,-3922.54911161162,373.548548548549,1000.42246084199,-626.873912293441,0.75,0.653333333333333
100,75,10,519.665975765306,6013.16196056548,-5493.49598480017,186.4,1030.89481424914,-844.494814249137,0.75,0.653333333333333
100,75,15,227.588448580796,5809.2456945151,-5581.6572459343,103.755555555556,1027.31107189258,-923.555516337027,0.75,0.653333333333333
100,75,25,125.403793268411,5763.82048680911,-5638.4166935407,60.016,1034.18366771307,-974.167667713075,0.75,0.653333333333333
100,75,40,50.5841522423567,5631.27511436208,-5580.69096211972,27.5625,1027.18910335614,-999.62660335614,0.75,0.653333333333333
500,100,5,27825.0458104281,205244.915042479,-177419.869232051,6221.88905547226,4911.09334657263,1310.79570889963,0.2,0.49
500,100,10,90096.1364717978,109975.220394929,-19879.0839231313,3294.05162738496,3393.38446135112,-99.3328339661589,0.2,0.49
500,100,25,122936.962121453,55901.2819603331,67035.6801611196,1506.1183550652,1381.75643646924,124.361918595959,0.2,0.49
500,100,40,69057.1338621788,37787.8188913264,31269.3149708525,880.3125,771.710496577009,108.602003422991,0.2,0.49
500,100,50,35459.9448835605,26998.2345974069,8461.7102861536,661.6,574.410723034801,87.1892769651988,0.2,0.49
500,250,10,79438.2253480096,87131.2124531525,-7692.98710514298,6267.5,6914.89528606591,-647.395286065907,0.5,0.196
500,250,20,21567.8427411772,76913.0258796838,-55345.1831385066,2966.25,6995.8957203976,-4029.6457203976,0.5,0.196
500,250,30,12997.2928964811,70962.7452026266,-57965.4523061455,2266.94444444444,7009.22302595745,-4742.27858151301,0.5,0.196
500,250,40,7817.93754401491,64671.9367655374,-56853.9992215225,1504.84375,6685.91323049985,-5181.06948049985,0.5,0.196
500,250,50,4837.97794796403,66265.0959485546,-61427.1180005905,1082.5,6900.51027974719,-5818.01027974719,0.5,0.196
500,400,10,9513.25774754346,166287.633333333,-156774.37558579,4000,31403.1746019555,-27403.1746019555,0.8,0.1225
500,400,20,3606.72754381079,165613.304932533,-162006.577388722,1977.5,31747.105168683,-29769.605168683,0.8,0.1225
500,400,50,1202.6312602458,160009.617469652,-158806.986209406,729.4,31446.3871946184,-30716.9871946184,0.8,0.1225
500,400,60,965.32671867483,161964.572374139,-160999.245655464,580.347222222222,31684.1703122465,-31103.8230900243,0.8,0.1225
500,400,75,802.321374544627,160709.131837523,-159906.810462978,500.8,31570.9793605522,-31070.1793605522,0.8,0.1225
1000,250,5,133379.807335707,539147.683021807,-405767.8756861,31391.8558077437,16878.2531387638,14513.6026689799,0.25,0.196
1000,250,10,545219.521345556,404004.904930888,141214.616414667,16825.1859723698,10669.4396060006,6155.74636636926,0.25,0.196
1000,250,25,427230.425322333,233324.510626391,193905.914695941,6707.61523046092,5457.12141090505,1250.49381955587,0.25,0.196
1000,250,40,229505.551665502,134032.023861066,95473.527804436,4745,3860.49359026641,884.506409733587,0.25,0.196
1000,250,50,119352.017845581,120163.095854966,-811.078009385412,3239.2,3461.78058463318,-222.580584633178,0.25,0.196
1000,500,10,416201.809803,405212.729342469,10989.0804605306,25705.7057057057,29258.2882071974,-3552.58250149166,0.5,0.098
1000,500,20,64523.0281639032,299704.923051302,-235181.894887399,11272.5,27728.1260981884,-16455.6260981884,0.5,0.098
1000,500,30,39485.8055780461,284411.619022209,-244925.813444163,7641.11111111111,28184.9879773935,-20543.8768662824,0.5,0.098
1000,500,40,29316.1878227254,278351.005754967,-249034.817932242,5872.5,27991.6397835289,-22119.1397835289,0.5,0.098
1000,500,50,23164.4417840578,265176.041874985,-242011.600090928,4837.2,27374.9757462115,-22537.7757462115,0.5,0.098
1000,750,10,71438.2706207482,599903.944869615,-528465.674248866,19380,102535.028918517,-83155.0289185174,0.75,0.0653333333333333
1000,750,20,17066.5296846547,580652.436771032,-563585.907086377,8247.5,102913.180171867,-94665.6801718671,0.75,0.0653333333333333
1000,750,50,7892.30840345841,570738.833374345,-562846.524970887,3844.8,103260.862966694,-99416.0629666936,0.75,0.0653333333333333
1000,750,60,6404.1724528836,563974.361496154,-557570.18904327,3188.33333333333,102800.780667837,-99612.4473345041,0.75,0.0653333333333333
1000,750,75,4068.17716887118,563690.589480302,-559622.412311431,2187.91111111111,102851.378592371,-100663.46748126,0.75,0.0653333333333333
1100,1090,461,14.3464465467038,1188102.75848837,-1188088.41204182,14.0687273257702,294316.322749498,-294302.254022172,0.990909090909091,0.044954128440367
1600,310,50,393465.271675925,322182.829357324,71282.4423186011,7389.216,5984.74301633457,1404.47298366543,0.19375,0.158064516129032
1300,130,50,1326006.41777271,402712.243784112,923294.173988597,2986.62914572864,4845.80392056322,-1859.17477483457,0.1,0.376923076923077
300,290,127,14.2952556746472,84195.3871267221,-84181.0918710475,13.3558187116375,20327.3833790039,-20314.0275602923,0.966666666666667,0.168965517241379
1100,560,71,16049.852785789,322120.626493127,-306070.773707338,3922.85895655624,35244.8097648012,-31321.950808245,0.509090909090909,0.0875
1900,810,138,35072.5601129969,673979.219282789,-638906.659169792,5799.53098088637,57788.2647286968,-51988.7337478104,0.426315789473684,0.0604938271604938
900,470,8,313835.65446279,314988.2942231,-1152.63976030925,24930.0879396985,25392.3979380943,-462.309998395842,0.522222222222222,0.104255319148936
900,670,317,565.345812427139,451012.816479986,-450447.470667559,313.578839474967,81897.1511159181,-81583.5722764431,0.744444444444444,0.073134328358209
500,350,143,588.474214736703,123127.30972598,-122538.835511243,283.788938334393,20765.3702389351,-20481.5813006007,0.7,0.14
900,770,308,298.909728857361,592368.570917233,-592069.661188376,217.536473266993,125937.913045037,-125720.37657177,0.855555555555556,0.0636363636363636
200,140,9,5339.60025,21376.8494907407,-16037.2492407407,936.493827160494,3272.17387924626,-2335.68005208577,0.7,0.35
300,160,75,919.615468819011,26258.0341794923,-25338.4187106733,240.752,3081.57834001346,-2840.82634001346,0.533333333333333,0.30625
1200,120,46,1061299.26909958,316089.483835356,745209.785264222,2634.7848908194,5500.30422727873,-2865.51933645933,0.1,0.408333333333333
700,390,42,10687.9648216582,158728.060150296,-148040.095328637,2701.5,19327.4384905296,-16625.9384905296,0.557142857142857,0.125641025641026
600,310,39,9164.47103028248,105440.391544677,-96275.9205143945,2098.50887573965,11202.9878810796,-9104.47900533996,0.516666666666667,0.158064516129032
600,410,120,1211.70498980692,169217.514071262,-168005.809081455,546.675,27664.5747803689,-27117.8997803689,0.683333333333333,0.119512195121951
1000,950,219,192.025257921573,900816.036378516,-900624.011120595,171.793749087801,213964.118295531,-213792.324546443,0.95,0.051578947368421
600,210,90,7075.58969258174,50551.4345002511,-43475.8448076694,743.911111111111,3043.98582040362,-2300.07470929251,0.35,0.233333333333333
1400,240,73,454470.65711702,189069.751930705,265400.905186315,3556.2799774817,3041.63187582479,514.648101656917,0.171428571428571,0.204166666666667
1800,960,185,13600.3038223321,927594.92247433,-913994.618651998,3689.11380569759,110867.837894852,-107178.724089155,0.533333333333333,0.0510416666666667
100,30,6,2844.01013513514,4586.95636261261,-1742.94622747748,259.547047047047,143.217435765389,116.329611281658,0.3,1.63333333333333
700,180,50,43985.7576748658,59898.2786107055,-15912.5209358397,1761.028,1834.40846466802,-73.3804646680205,0.257142857142857,0.272222222222222
100,50,21,725.461901286178,2757.6177488491,-2032.15584756292,95.4195011337869,269.990492666464,-174.570991532677,0.5,0.98
1200,260,115,56323.4117308082,105098.617275485,-48775.2055446772,2082.92173913043,2654.01938002377,-571.097640893335,0.216666666666667,0.188461538461538
1900,280,21,2727380.02037037,1673918.511857,1053461.50851337,18266.6335978836,33124.4619773784,-14857.8283794948,0.147368421052632,0.175
1800,1200,333,3871.51922409451,1439876.41593133,-1436004.89670724,1678.30533235939,229917.379149217,-228239.073816858,0.666666666666667,0.0408333333333333
600,220,23,71257.3979477094,79364.566527584,-8107.16857987453,3320.1965973535,3970.31210143335,-650.115504079857,0.366666666666667,0.222727272727273
1400,570,81,38148.1790001946,350005.880236888,-311857.701236694,5281.90336838896,26933.9696170542,-21652.0662486652,0.407142857142857,0.0859649122807018
900,670,83,2949.36162972581,447729.228276903,-444779.866647177,1545.00972564959,81236.4375728897,-79691.4278472401,0.744444444444444,0.073134328358209
500,450,70,325.648663192473,203761.617070651,-203435.968407458,258.316326530612,45529.2018950491,-45270.8855685185,0.9,0.108888888888889
1500,940,165,7297.80055818139,902029.644832748,-894731.844274566,2714.13223140496,132045.496092827,-129331.363861422,0.626666666666667,0.0521276595744681
100,90,27,32.5879643507944,8174.66629836135,-8142.07833401056,24.7791495198902,1820.99703746643,-1796.21788794654,0.9,0.544444444444444
1100,410,149,12503.4058948739,172958.998426697,-160455.592531823,1606.27521282825,12138.7549091892,-10532.479696361,0.372727272727273,0.119512195121951
2000,1710,523,1017.14570586186,2925384.28961895,-2924367.14391308,744.117004047103,621192.547861343,-620448.430857296,0.855,0.0286549707602339
900,440,55,18512.6787005838,205126.453944293,-186613.775243709,3645.01818181818,20670.9191419605,-17025.9009601423,0.488888888888889,0.111363636363636
300,180,33,1814.3115744173,34059.3513286167,-32245.0397541994,558.115702479339,4533.30216484916,-3975.18646236983,0.6,0.272222222222222
1500,940,64,21957.3452130788,908576.819304558,-886619.47409148,7956.44775390625,131163.504713498,-123207.056959592,0.626666666666667,0.0521276595744681
300,120,43,3565.18000495809,16483.9467560921,-12918.7667511341,427.551108707409,1176.16896381585,-748.617855108439,0.4,0.408333333333333
1300,220,109,99966.0031808808,123782.9636538,-23816.9604729195,2020.09443649524,1910.40785300202,109.68658349322,0.169230769230769,0.222727272727273
1500,1210,460,821.50623151716,1464833.18051479,-1464011.67428327,530.671550094518,291840.43413363,-291309.762583536,0.806666666666667,0.040495867768595
2000,1420,602,1820.95175427158,2014860.22077987,-2013039.2690256,910.438516131169,347211.579510049,-346301.140993918,0.71,0.0345070422535211
1800,1750,765,71.2050447172164,3062080.62271234,-3062009.41766762,67.2941176470588,744146.404984282,-744079.110866635,0.972222222222222,0.028
200,80,32,2103.87215969077,7866.3021286428,-5762.42996895202,246.953125,534.207935790756,-287.254810790756,0.4,0.6125
1200,30,8,939085.714285714,1196423.9010989,-257338.186813187,18578.5714285714,10306.3726957258,8272.1987328456,0.025,1.63333333333333
500,410,73,674.793184913007,167012.9995333,-166338.206348387,434.501782698443,33904.7070620152,-33470.2052793168,0.82,0.119512195121951
1600,170,8,373726.137709866,1966788.72165629,-1593062.58394642,31059.5925297114,52309.8813885922,-21250.2888588808,0.10625,0.288235294117647
900,140,43,342481.832342418,125815.029915782,216666.802426637,2303.14121585079,2419.07319538296,-115.931979532175,0.155555555555556,0.35
1200,950,327,890.80242738043,903960.67935731,-903069.87692993,555.244508038044,176237.366419323,-175682.121911285,0.791666666666667,0.051578947368421
500,450,208,77.7289324664849,202715.251587896,-202637.522655429,62.6097910502958,45447.6905621325,-45385.0807710822,0.9,0.108888888888889
600,510,222,179.839808074896,260034.581220707,-259854.741412632,129.227173119065,54871.0226158664,-54741.7954427474,0.85,0.096078431372549
